Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         6 |                 39.000000 |                      58 |                   19
         7 |                 52.000000 |                     103 |                   51
         8 |                 68.000000 |                     123 |                   55
         9 |                 85.000000 |                     221 |                  136
        10 |                105.000000 |                     268 |                  163
        11 |                126.000000 |                     281 |                  155
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                      10 |                    5
         3 |                 10.000000 |                      21 |                   11
         4 |                 18.000000 |                      33 |                   15
         5 |                 27.000000 |                      52 |                   25
         6 |                 39.000000 |                      58 |                   19
         7 |                 52.000000 |                     105 |                   53
         8 |                 68.000000 |                     121 |                   53
         9 |                 85.000000 |                     166 |                   81
        10 |                105.000000 |                     215 |                  110
        11 |                126.000000 |                     268 |                  142
        12 |                150.000000 |                     325 |                  175
        13 |                175.000000 |                     336 |                  161
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       5 |                    4
         2 |                  5.000000 |                      10 |                    5
         3 |                 10.000000 |                      23 |                   13
         4 |                 18.000000 |                      48 |                   30
         5 |                 27.000000 |                      66 |                   39
         6 |                 39.000000 |                      98 |                   59
         7 |                 52.000000 |                     117 |                   65
         8 |                 68.000000 |                     166 |                   98
         9 |                 85.000000 |                     196 |                  111
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       5 |                    4
         2 |                  5.000000 |                      12 |                    7
         3 |                 10.000000 |                      21 |                   11
         4 |                 18.000000 |                      34 |                   16
         5 |                 27.000000 |                      56 |                   29
         6 |                 39.000000 |                      75 |                   36
         7 |                 52.000000 |                      90 |                   38
         8 |                 68.000000 |                     102 |                   34
         9 |                 85.000000 |                     194 |                  109
        10 |                105.000000 |                     285 |                  180
        11 |                126.000000 |                     316 |                  190
        12 |                150.000000 |                     320 |                  170
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       5 |                    4
         2 |                  5.000000 |                      11 |                    6
         3 |                 10.000000 |                      23 |                   13
         4 |                 18.000000 |                      34 |                   16
         5 |                 27.000000 |                      52 |                   25
         6 |                 39.000000 |                      80 |                   41
         7 |                 52.000000 |                     102 |                   50
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                      12 |                    7
         3 |                 10.000000 |                      18 |                    8
         4 |                 18.000000 |                      34 |                   16
         5 |                 27.000000 |                      64 |                   37
         6 |                 39.000000 |                     102 |                   63
         7 |                 52.000000 |                     134 |                   82
         8 |                 68.000000 |                     160 |                   92
         9 |                 85.000000 |                     173 |                   88
        10 |                105.000000 |                     177 |                   72
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       5 |                    4
         2 |                  5.000000 |                      14 |                    9
         3 |                 10.000000 |                      20 |                   10
         4 |                 18.000000 |                      44 |                   26
         5 |                 27.000000 |                      67 |                   40
         6 |                 39.000000 |                      93 |                   54
         7 |                 52.000000 |                     124 |                   72
         8 |                 68.000000 |                     155 |                   87
         9 |                 85.000000 |                     206 |                  121
        10 |                105.000000 |                     288 |                  183
        11 |                126.000000 |                     356 |                  230
        12 |                150.000000 |                     385 |                  235
        13 |                175.000000 |                     389 |                  214
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                      11 |                    6
         3 |                 10.000000 |                      22 |                   12
         4 |                 18.000000 |                      40 |                   22
         5 |                 27.000000 |                      56 |                   29
         6 |                 39.000000 |                      72 |                   33
         7 |                 52.000000 |                     107 |                   55
         8 |                 68.000000 |                     153 |                   85
         9 |                 85.000000 |                     218 |                  133
        10 |                105.000000 |                     268 |                  163
        11 |                126.000000 |                     311 |                  185
        12 |                150.000000 |                     359 |                  209
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       5 |                    4
         2 |                  5.000000 |                      10 |                    5
         3 |                 10.000000 |                      24 |                   14
         4 |                 18.000000 |                      35 |                   17
         5 |                 27.000000 |                      50 |                   23
         6 |                 39.000000 |                      70 |                   31
         7 |                 52.000000 |                     119 |                   67
         8 |                 68.000000 |                     127 |                   59
         9 |                 85.000000 |                     182 |                   97
        10 |                105.000000 |                     260 |                  155
        11 |                126.000000 |                     280 |                  154
        12 |                150.000000 |                     290 |                  140
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                       9 |                    4
         3 |                 10.000000 |                      29 |                   19
         4 |                 18.000000 |                      40 |                   22
         5 |                 27.000000 |                      57 |                   30
         6 |                 39.000000 |                      69 |                   30
         7 |                 52.000000 |                     112 |                   60
         8 |                 68.000000 |                     156 |                   88
         9 |                 85.000000 |                     199 |                  114
        10 |                105.000000 |                     279 |                  174
        11 |                126.000000 |                     284 |                  158
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                      10 |                    5
         3 |                 10.000000 |                      15 |                    5
         4 |                 18.000000 |                      23 |                    5
         5 |                 27.000000 |                      44 |                   17
         6 |                 39.000000 |                      52 |                   13
         7 |                 52.000000 |                      65 |                   13
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                      13 |                    8
         3 |                 10.000000 |                      24 |                   14
         4 |                 18.000000 |                      43 |                   25
         5 |                 27.000000 |                      66 |                   39
         6 |                 39.000000 |                      79 |                   40
         7 |                 52.000000 |                     129 |                   77
         8 |                 68.000000 |                     145 |                   77
         9 |                 85.000000 |                     193 |                  108
        10 |                105.000000 |                     281 |                  176
        11 |                126.000000 |                     389 |                  263
        12 |                150.000000 |                     460 |                  310
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                      10 |                    5
         3 |                 10.000000 |                      19 |                    9
         4 |                 18.000000 |                      40 |                   22
         5 |                 27.000000 |                      50 |                   23
         6 |                 39.000000 |                      65 |                   26
         7 |                 52.000000 |                      99 |                   47
         8 |                 68.000000 |                     123 |                   55
         9 |                 85.000000 |                     185 |                  100
        10 |                105.000000 |                     203 |                   98
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                      10 |                    5
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                      10 |                    5
         3 |                 10.000000 |                      20 |                   10
         4 |                 18.000000 |                      37 |                   19
         5 |                 27.000000 |                      55 |                   28
         6 |                 39.000000 |                      75 |                   36
         7 |                 52.000000 |                     105 |                   53
         8 |                 68.000000 |                     138 |                   70
         9 |                 85.000000 |                     153 |                   68
        10 |                105.000000 |                     215 |                  110
        11 |                126.000000 |                     268 |                  142
        12 |                150.000000 |                     278 |                  128
        13 |                175.000000 |                     317 |                  142
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                      12 |                    7
         3 |                 10.000000 |                      23 |                   13
         4 |                 18.000000 |                      34 |                   16
         5 |                 27.000000 |                      55 |                   28
         6 |                 39.000000 |                      74 |                   35
         7 |                 52.000000 |                      76 |                   24
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       5 |                    4
         2 |                  5.000000 |                      11 |                    6
         3 |                 10.000000 |                      23 |                   13
         4 |                 18.000000 |                      35 |                   17
         5 |                 27.000000 |                      50 |                   23
         6 |                 39.000000 |                      72 |                   33
         7 |                 52.000000 |                      76 |                   24
         8 |                 68.000000 |                     111 |                   43
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       5 |                    4
         2 |                  5.000000 |                      10 |                    5
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                       9 |                    4
         3 |                 10.000000 |                      21 |                   11
         4 |                 18.000000 |                      34 |                   16
         5 |                 27.000000 |                      42 |                   15
         6 |                 39.000000 |                      62 |                   23
         7 |                 52.000000 |                      96 |                   44
         8 |                 68.000000 |                     142 |                   74
         9 |                 85.000000 |                     226 |                  141
        10 |                105.000000 |                     325 |                  220
        11 |                126.000000 |                     365 |                  239
        12 |                150.000000 |                     382 |                  232
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                      10 |                    5
         3 |                 10.000000 |                      19 |                    9
         4 |                 18.000000 |                      27 |                    9
         5 |                 27.000000 |                      48 |                   21
         6 |                 39.000000 |                      65 |                   26
         7 |                 52.000000 |                     109 |                   57
         8 |                 68.000000 |                     139 |                   71
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                      14 |                    9
         3 |                 10.000000 |                      28 |                   18
         4 |                 18.000000 |                      35 |                   17
         5 |                 27.000000 |                      54 |                   27
         6 |                 39.000000 |                      85 |                   46
         7 |                 52.000000 |                     109 |                   57
         8 |                 68.000000 |                     137 |                   69
         9 |                 85.000000 |                     185 |                  100
        10 |                105.000000 |                     197 |                   92
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                       9 |                    4
         3 |                 10.000000 |                      20 |                   10
         4 |                 18.000000 |                      34 |                   16
         5 |                 27.000000 |                      60 |                   33
         6 |                 39.000000 |                      94 |                   55
         7 |                 52.000000 |                     117 |                   65
         8 |                 68.000000 |                     149 |                   81
         9 |                 85.000000 |                     154 |                   69
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                      12 |                    7
         3 |                 10.000000 |                      26 |                   16
         4 |                 18.000000 |                      31 |                   13
         5 |                 27.000000 |                      50 |                   23
         6 |                 39.000000 |                      87 |                   48
         7 |                 52.000000 |                     112 |                   60
         8 |                 68.000000 |                     119 |                   51
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                       9 |                    4
         3 |                 10.000000 |                      20 |                   10
         4 |                 18.000000 |                      41 |                   23
         5 |                 27.000000 |                      50 |                   23
         6 |                 39.000000 |                      65 |                   26
         7 |                 52.000000 |                      93 |                   41
         8 |                 68.000000 |                     137 |                   69
         9 |                 85.000000 |                     210 |                  125
        10 |                105.000000 |                     234 |                  129
        11 |                126.000000 |                     244 |                  118
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                       8 |                    3
         3 |                 10.000000 |                      18 |                    8
         4 |                 18.000000 |                      28 |                   10
         5 |                 27.000000 |                      48 |                   21
         6 |                 39.000000 |                      79 |                   40
         7 |                 52.000000 |                      94 |                   42
         8 |                 68.000000 |                      97 |                   29
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                      11 |                    6
         3 |                 10.000000 |                      26 |                   16
         4 |                 18.000000 |                      37 |                   19
         5 |                 27.000000 |                      52 |                   25
         6 |                 39.000000 |                      65 |                   26
         7 |                 52.000000 |                     104 |                   52
         8 |                 68.000000 |                     164 |                   96
         9 |                 85.000000 |                     201 |                  116
        10 |                105.000000 |                     264 |                  159
        11 |                126.000000 |                     266 |                  140
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                      11 |                    6
         3 |                 10.000000 |                      23 |                   13
         4 |                 18.000000 |                      32 |                   14
         5 |                 27.000000 |                      73 |                   46
         6 |                 39.000000 |                      93 |                   54
         7 |                 52.000000 |                     131 |                   79
         8 |                 68.000000 |                     161 |                   93
         9 |                 85.000000 |                     232 |                  147
        10 |                105.000000 |                     259 |                  154
        11 |                126.000000 |                     309 |                  183
        12 |                150.000000 |                     383 |                  233
        13 |                175.000000 |                     404 |                  229
        14 |                203.000000 |                     461 |                  258
        15 |                232.000000 |                     486 |                  254
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                      11 |                    6
         3 |                 10.000000 |                      16 |                    6
         4 |                 18.000000 |                      31 |                   13
         5 |                 27.000000 |                      56 |                   29
         6 |                 39.000000 |                      58 |                   19
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       5 |                    4
         2 |                  5.000000 |                      12 |                    7
         3 |                 10.000000 |                      22 |                   12
         4 |                 18.000000 |                      34 |                   16
         5 |                 27.000000 |                      52 |                   25
         6 |                 39.000000 |                      80 |                   41
         7 |                 52.000000 |                     138 |                   86
         8 |                 68.000000 |                     179 |                  111
         9 |                 85.000000 |                     200 |                  115
        10 |                105.000000 |                     212 |                  107
        11 |                126.000000 |                     237 |                  111
        12 |                150.000000 |                     299 |                  149
        13 |                175.000000 |                     353 |                  178
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       5 |                    4
         2 |                  5.000000 |                      12 |                    7
         3 |                 10.000000 |                      17 |                    7
         4 |                 18.000000 |                      28 |                   10
         5 |                 27.000000 |                      61 |                   34
         6 |                 39.000000 |                      77 |                   38
         7 |                 52.000000 |                     102 |                   50
         8 |                 68.000000 |                     139 |                   71
         9 |                 85.000000 |                     212 |                  127
        10 |                105.000000 |                     285 |                  180
        11 |                126.000000 |                     331 |                  205
        12 |                150.000000 |                     375 |                  225
        13 |                175.000000 |                     403 |                  228
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                       9 |                    4
         3 |                 10.000000 |                      20 |                   10
         4 |                 18.000000 |                      36 |                   18
         5 |                 27.000000 |                      47 |                   20
         6 |                 39.000000 |                      75 |                   36
         7 |                 52.000000 |                      84 |                   32
         8 |                 68.000000 |                     117 |                   49
         9 |                 85.000000 |                     197 |                  112
        10 |                105.000000 |                     234 |                  129
        11 |                126.000000 |                     272 |                  146
        12 |                150.000000 |                     335 |                  185
        13 |                175.000000 |                     350 |                  175
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       5 |                    4
         2 |                  5.000000 |                      13 |                    8
         3 |                 10.000000 |                      21 |                   11
         4 |                 18.000000 |                      32 |                   14
         5 |                 27.000000 |                      57 |                   30
         6 |                 39.000000 |                      79 |                   40
         7 |                 52.000000 |                     110 |                   58
         8 |                 68.000000 |                     119 |                   51
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                       9 |                    4
         3 |                 10.000000 |                      26 |                   16
         4 |                 18.000000 |                      33 |                   15
         5 |                 27.000000 |                      48 |                   21
         6 |                 39.000000 |                      68 |                   29
         7 |                 52.000000 |                     104 |                   52
         8 |                 68.000000 |                     141 |                   73
         9 |                 85.000000 |                     188 |                  103
        10 |                105.000000 |                     236 |                  131
        11 |                126.000000 |                     307 |                  181
        12 |                150.000000 |                     334 |                  184
        13 |                175.000000 |                     466 |                  291
        14 |                203.000000 |                     492 |                  289
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                       9 |                    4
         3 |                 10.000000 |                      23 |                   13
         4 |                 18.000000 |                      33 |                   15
         5 |                 27.000000 |                      55 |                   28
         6 |                 39.000000 |                      70 |                   31
         7 |                 52.000000 |                     118 |                   66
         8 |                 68.000000 |                     132 |                   64
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                      11 |                    6
         3 |                 10.000000 |                      20 |                   10
         4 |                 18.000000 |                      30 |                   12
         5 |                 27.000000 |                      48 |                   21
         6 |                 39.000000 |                      65 |                   26
         7 |                 52.000000 |                      96 |                   44
         8 |                 68.000000 |                     132 |                   64
         9 |                 85.000000 |                     159 |                   74
        10 |                105.000000 |                     227 |                  122
        11 |                126.000000 |                     295 |                  169
        12 |                150.000000 |                     320 |                  170
        13 |                175.000000 |                     410 |                  235
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       7 |                    6
         2 |                  5.000000 |                      14 |                    9
         3 |                 10.000000 |                      30 |                   20
         4 |                 18.000000 |                      38 |                   20
         5 |                 27.000000 |                      54 |                   27
         6 |                 39.000000 |                      83 |                   44
         7 |                 52.000000 |                     119 |                   67
         8 |                 68.000000 |                     121 |                   53
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                      11 |                    6
         3 |                 10.000000 |                      14 |                    4
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                       9 |                    4
         3 |                 10.000000 |                      18 |                    8
         4 |                 18.000000 |                      29 |                   11
         5 |                 27.000000 |                      43 |                   16
         6 |                 39.000000 |                      73 |                   34
         7 |                 52.000000 |                      82 |                   30
         8 |                 68.000000 |                     138 |                   70
         9 |                 85.000000 |                     157 |                   72
        10 |                105.000000 |                     191 |                   86
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                      12 |                    7
         3 |                 10.000000 |                      24 |                   14
         4 |                 18.000000 |                      42 |                   24
         5 |                 27.000000 |                      64 |                   37
         6 |                 39.000000 |                      92 |                   53
         7 |                 52.000000 |                     111 |                   59
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                      11 |                    6
         3 |                 10.000000 |                      18 |                    8
         4 |                 18.000000 |                      38 |                   20
         5 |                 27.000000 |                      47 |                   20
         6 |                 39.000000 |                      63 |                   24
         7 |                 52.000000 |                      74 |                   22
         8 |                 68.000000 |                      83 |                   15
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                       9 |                    4
         3 |                 10.000000 |                      17 |                    7
         4 |                 18.000000 |                      39 |                   21
         5 |                 27.000000 |                      65 |                   38
         6 |                 39.000000 |                      82 |                   43
         7 |                 52.000000 |                     108 |                   56
         8 |                 68.000000 |                     160 |                   92
         9 |                 85.000000 |                     166 |                   81
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       5 |                    4
         2 |                  5.000000 |                      11 |                    6
         3 |                 10.000000 |                      24 |                   14
         4 |                 18.000000 |                      35 |                   17
         5 |                 27.000000 |                      57 |                   30
         6 |                 39.000000 |                      69 |                   30
         7 |                 52.000000 |                      97 |                   45
         8 |                 68.000000 |                     146 |                   78
         9 |                 85.000000 |                     183 |                   98
        10 |                105.000000 |                     240 |                  135
        11 |                126.000000 |                     289 |                  163
        12 |                150.000000 |                     306 |                  156
        13 |                175.000000 |                     373 |                  198
        14 |                203.000000 |                     386 |                  183
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       6 |                    5
         2 |                  5.000000 |                      11 |                    6
         3 |                 10.000000 |                      18 |                    8
         4 |                 18.000000 |                      20 |                    2
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                      10 |                    5
         3 |                 10.000000 |                      17 |                    7
         4 |                 18.000000 |                      40 |                   22
         5 |                 27.000000 |                      68 |                   41
         6 |                 39.000000 |                      81 |                   42
         7 |                 52.000000 |                     110 |                   58
         8 |                 68.000000 |                     123 |                   55
         9 |                 85.000000 |                     155 |                   70
        10 |                105.000000 |                     227 |                  122
        11 |                126.000000 |                     246 |                  120
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                       9 |                    4
         3 |                 10.000000 |                      19 |                    9
         4 |                 18.000000 |                      33 |                   15
         5 |                 27.000000 |                      64 |                   37
         6 |                 39.000000 |                      91 |                   52
         7 |                 52.000000 |                     108 |                   56
         8 |                 68.000000 |                     147 |                   79
         9 |                 85.000000 |                     196 |                  111
