Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                       9 |                    4
         3 |                 10.000000 |                      17 |                    7
         4 |                 18.000000 |                      33 |                   15
         5 |                 27.000000 |                      50 |                   23
         6 |                 39.000000 |                      63 |                   24
         7 |                 52.000000 |                      85 |                   33
         8 |                 68.000000 |                     145 |                   77
         9 |                 85.000000 |                     178 |                   93
        10 |                105.000000 |                     262 |                  157
        11 |                126.000000 |                     309 |                  183
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       6 |                    5
         2 |                  5.000000 |                      12 |                    7
         3 |                 10.000000 |                      22 |                   12
         4 |                 18.000000 |                      26 |                    8
         5 |                 27.000000 |                      41 |                   14
         6 |                 39.000000 |                      56 |                   17
         7 |                 52.000000 |                      77 |                   25
         8 |                 68.000000 |                     140 |                   72
         9 |                 85.000000 |                     167 |                   82
        10 |                105.000000 |                     192 |                   87
        11 |                126.000000 |                     232 |                  106
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                      10 |                    5
         3 |                 10.000000 |                      19 |                    9
         4 |                 18.000000 |                      29 |                   11
         5 |                 27.000000 |                      48 |                   21
         6 |                 39.000000 |                      71 |                   32
         7 |                 52.000000 |                      92 |                   40
         8 |                 68.000000 |                     132 |                   64
         9 |                 85.000000 |                     179 |                   94
        10 |                105.000000 |                     235 |                  130
        11 |                126.000000 |                     250 |                  124
        12 |                150.000000 |                     276 |                  126
        13 |                175.000000 |                     326 |                  151
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                       9 |                    4
         3 |                 10.000000 |                      27 |                   17
         4 |                 18.000000 |                      44 |                   26
         5 |                 27.000000 |                      63 |                   36
         6 |                 39.000000 |                      83 |                   44
         7 |                 52.000000 |                     120 |                   68
         8 |                 68.000000 |                     134 |                   66
         9 |                 85.000000 |                     187 |                  102
        10 |                105.000000 |                     211 |                  106
        11 |                126.000000 |                     256 |                  130
